Mgst3
Ppox
Creg1
Efcab2
Slc30a10
Nudt4
Fuca2
Chchd10
Ddc
Rmnd5b
Dhrs11
Slc4a1
Dcxr
Hbq1b
Acp1
Slc25a21
Glrx5
Rfesd
Tmem14c
Lpcat1
Ell2
Slc25a37
Hesx1
Cdkn3
Ctsb
Top1mt
Ncf4
Grap2
Prr13
Tfrc
Cpox
Cdc42ep3
Pim1
Rhag
Celf4
Fech
Cdc25b
Fam210b
Pklr
Gstm5
Gclm
Aqp3
Hemgn
Alad
Mllt3
Smim1
Rragd
Tmod1
Svbp
Fam126a
Cldn13
Klf3
Asns
Kdm7a
Gadd45a
Hebp1
Arf5
Bpgm
Abcg2
Cox6b2
Ftl1
Ddias
Hbb-bt
Kcnn4
Blvrb
Htatip2
Arrb1
Ucp2
Aqp8
Ypel3
Abcb10
Gypa
Klf1
Nxpe2
Mindy2
Dnaja4
Gpx1
Txlng
Alas2
Arid3a
Hba-x
Hba-a2
Ssbp2
Hsd3b6
Hbb-bh1
Hbb-y
Klhl26
Prdx2
Icam4
