CROCCP2
GCLM
SELENBP1
ABCB10
ERMAP
CDKN2C
CTSE
HBE1
E2F8
YPEL4
UCP2
HMBS
KRT1
TESC
KATNAL1
PLEK2
EPB42
ISG20
HAGH
CTA-363E6.6
SHCBP1
HBQ1
DHRS13
SLC25A39
PHOSPHO1
FAM104A
ATP1B2
MAP2K3
TUBG1
MRC2
SMIM5
C18orf56
CCDC68
FECH
MARCH2
TNS1
RRM2
LTBP1
STEAP3
SMOX
FAM210B
TUBB1
C21orf58
OSBP2
TSPAN5
GYPE
GYPB
FHDC1
FAXDC2
RFESD
SLC22A4
TRIM10
SLC22A16
SGK1
TSPO2
JAZF1
ACHE
AQP1
BPGM
CCNE2
TSTA3
AQP3
FAM214B
HEMGN
ALAD
STOM
ST6GALNAC4
UBAC1
TMOD1
ALAS2
ATG4A
SLC6A8
RAP1GAP
LRRN2
LY9
CRB1
HBB
HBG2
SBF2-AS1
TMEM233
C14orf37
LRP10
STRA6
HBM
HBA2
AHSP
SLFN14
RGS9
SLC14A1
GDF15
RSAD2
GULP1
MYT1
ABCG2
EDIL3
ACSL6
HEY2
