0.52478,0.39246,0.76374
0.53478,0.40015,0.7731
0.54478,0.40761,0.78266
0.55478,0.41486,0.79241
0.56478,0.42189,0.80233
0.57478,0.42872,0.81244
0.58478,0.43534,0.82271
0.59478,0.44178,0.83314
0.60478,0.44802,0.84373
0.61478,0.45408,0.85446
0.62478,0.45996,0.86534
0.63478,0.46566,0.87636
0.64478,0.4712,0.88751
0.65478,0.47658,0.89879
0.66478,0.4818,0.91018
0.67478,0.48687,0.9217
0.68478,0.49179,0.93333
0.69478,0.49656,0.94506
0.70478,0.53005,0.94394
0.71478,0.56521,0.9426
0.72478,0.59945,0.94218
0.73478,0.63281,0.94264
0.74478,0.66531,0.94395
0.75478,0.69697,0.94608
0.76478,0.72781,0.94898
0.77478,0.75786,0.95262
0.78478,0.78712,0.95697
0.79478,0.81563,0.962
0.80478,0.84341,0.96768
0.81478,0.87046,0.97398
0.82478,0.89682,0.98087
0.83478,0.92249,0.98832
0.84478,0.94751,0.9963
0.85478,0.97187,1.0048
0.86478,0.9956,1.0138
0.87478,1.0187,1.0232
0.88478,1.0412,1.0331
0.89478,1.0632,1.0434
